grad_out_shape,x_shape,w_shape,bias,stride,padding,dilation,transposed,output_padding,groups,output_mask,out_shape,shapes
"torch.Size([8, 128, 48, 64])","torch.Size([8, 256, 48, 64])","torch.Size([128, 256, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 256, 48, 64]), torch.Size([128, 256, 1, 1]), None)","[[torch.Size([8, 128, 48, 64]), torch.Size([128, 256, 1, 1]), torch.Size([8, 256, 48, 64]), True], [[256, 8, 48, 64], [128, 8, 48, 64], [256, 128, 1, 1], False]]"
"torch.Size([8, 256, 48, 64])","torch.Size([8, 128, 48, 64])","torch.Size([256, 128, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 128, 48, 64]), torch.Size([256, 128, 3, 3]), None)","[[torch.Size([8, 256, 48, 64]), torch.Size([256, 128, 3, 3]), torch.Size([8, 128, 48, 64]), True], [[128, 8, 48, 64], [256, 8, 48, 64], [128, 256, 3, 3], False]]"
"torch.Size([8, 128, 48, 64])","torch.Size([8, 256, 48, 64])","torch.Size([128, 256, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 256, 48, 64]), torch.Size([128, 256, 1, 1]), None)","[[torch.Size([8, 128, 48, 64]), torch.Size([128, 256, 1, 1]), torch.Size([8, 256, 48, 64]), True], [[256, 8, 48, 64], [128, 8, 48, 64], [256, 128, 1, 1], False]]"
"torch.Size([8, 256, 48, 64])","torch.Size([8, 128, 48, 64])","torch.Size([256, 128, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 128, 48, 64]), torch.Size([256, 128, 3, 3]), None)","[[torch.Size([8, 256, 48, 64]), torch.Size([256, 128, 3, 3]), torch.Size([8, 128, 48, 64]), True], [[128, 8, 48, 64], [256, 8, 48, 64], [128, 256, 3, 3], False]]"
"torch.Size([8, 128, 48, 64])","torch.Size([8, 256, 48, 64])","torch.Size([128, 256, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 256, 48, 64]), torch.Size([128, 256, 1, 1]), None)","[[torch.Size([8, 128, 48, 64]), torch.Size([128, 256, 1, 1]), torch.Size([8, 256, 48, 64]), True], [[256, 8, 48, 64], [128, 8, 48, 64], [256, 128, 1, 1], False]]"
"torch.Size([8, 256, 48, 64])","torch.Size([8, 128, 48, 64])","torch.Size([256, 128, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 128, 48, 64]), torch.Size([256, 128, 3, 3]), None)","[[torch.Size([8, 256, 48, 64]), torch.Size([256, 128, 3, 3]), torch.Size([8, 128, 48, 64]), True], [[128, 8, 48, 64], [256, 8, 48, 64], [128, 256, 3, 3], False]]"
"torch.Size([8, 128, 48, 64])","torch.Size([8, 256, 48, 64])","torch.Size([128, 256, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 256, 48, 64]), torch.Size([128, 256, 1, 1]), None)","[[torch.Size([8, 128, 48, 64]), torch.Size([128, 256, 1, 1]), torch.Size([8, 256, 48, 64]), True], [[256, 8, 48, 64], [128, 8, 48, 64], [256, 128, 1, 1], False]]"
"torch.Size([8, 256, 48, 64])","torch.Size([8, 128, 48, 64])","torch.Size([256, 128, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 128, 48, 64]), torch.Size([256, 128, 3, 3]), None)","[[torch.Size([8, 256, 48, 64]), torch.Size([256, 128, 3, 3]), torch.Size([8, 128, 48, 64]), True], [[128, 8, 48, 64], [256, 8, 48, 64], [128, 256, 3, 3], False]]"
"torch.Size([8, 128, 48, 64])","torch.Size([8, 256, 48, 64])","torch.Size([128, 256, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 256, 48, 64]), torch.Size([128, 256, 1, 1]), None)","[[torch.Size([8, 128, 48, 64]), torch.Size([128, 256, 1, 1]), torch.Size([8, 256, 48, 64]), True], [[256, 8, 48, 64], [128, 8, 48, 64], [256, 128, 1, 1], False]]"
"torch.Size([8, 256, 48, 64])","torch.Size([8, 128, 96, 128])","torch.Size([256, 128, 3, 3])",[0],"[2, 2]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 128, 96, 128]), torch.Size([256, 128, 3, 3]), None)","[[torch.Size([8, 256, 48, 64]), torch.Size([256, 128, 3, 3]), torch.Size([8, 128, 96, 128]), True], [[128, 8, 96, 128], [256, 8, 48, 64], [128, 256, 3, 3], False]]"
"torch.Size([8, 128, 96, 128])","torch.Size([8, 64, 96, 128])","torch.Size([128, 64, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 64, 96, 128]), torch.Size([128, 64, 3, 3]), None)","[[torch.Size([8, 128, 96, 128]), torch.Size([128, 64, 3, 3]), torch.Size([8, 64, 96, 128]), True], [[64, 8, 96, 128], [128, 8, 96, 128], [64, 128, 3, 3], False]]"
"torch.Size([8, 64, 96, 128])","torch.Size([8, 128, 96, 128])","torch.Size([64, 128, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 128, 96, 128]), torch.Size([64, 128, 1, 1]), None)","[[torch.Size([8, 64, 96, 128]), torch.Size([64, 128, 1, 1]), torch.Size([8, 128, 96, 128]), True], [[128, 8, 96, 128], [64, 8, 96, 128], [128, 64, 1, 1], False]]"
"torch.Size([8, 128, 96, 128])","torch.Size([8, 64, 96, 128])","torch.Size([128, 64, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 64, 96, 128]), torch.Size([128, 64, 3, 3]), None)","[[torch.Size([8, 128, 96, 128]), torch.Size([128, 64, 3, 3]), torch.Size([8, 64, 96, 128]), True], [[64, 8, 96, 128], [128, 8, 96, 128], [64, 128, 3, 3], False]]"
"torch.Size([8, 64, 96, 128])","torch.Size([8, 128, 96, 128])","torch.Size([64, 128, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 128, 96, 128]), torch.Size([64, 128, 1, 1]), None)","[[torch.Size([8, 64, 96, 128]), torch.Size([64, 128, 1, 1]), torch.Size([8, 128, 96, 128]), True], [[128, 8, 96, 128], [64, 8, 96, 128], [128, 64, 1, 1], False]]"
"torch.Size([8, 128, 96, 128])","torch.Size([8, 64, 192, 256])","torch.Size([128, 64, 3, 3])",[0],"[2, 2]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 64, 192, 256]), torch.Size([128, 64, 3, 3]), None)","[[torch.Size([8, 128, 96, 128]), torch.Size([128, 64, 3, 3]), torch.Size([8, 64, 192, 256]), True], [[64, 8, 192, 256], [128, 8, 96, 128], [64, 128, 3, 3], False]]"
"torch.Size([8, 64, 192, 256])","torch.Size([8, 32, 192, 256])","torch.Size([64, 32, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 32, 192, 256]), torch.Size([64, 32, 3, 3]), None)","[[torch.Size([8, 64, 192, 256]), torch.Size([64, 32, 3, 3]), torch.Size([8, 32, 192, 256]), True], [[32, 8, 192, 256], [64, 8, 192, 256], [32, 64, 3, 3], False]]"
"torch.Size([8, 32, 192, 256])","torch.Size([8, 64, 192, 256])","torch.Size([32, 64, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 64, 192, 256]), torch.Size([32, 64, 1, 1]), None)","[[torch.Size([8, 32, 192, 256]), torch.Size([32, 64, 1, 1]), torch.Size([8, 64, 192, 256]), True], [[64, 8, 192, 256], [32, 8, 192, 256], [64, 32, 1, 1], False]]"
"torch.Size([8, 64, 192, 256])","torch.Size([8, 32, 384, 512])","torch.Size([64, 32, 3, 3])",[0],"[2, 2]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 32, 384, 512]), torch.Size([64, 32, 3, 3]), None)","[[torch.Size([8, 64, 192, 256]), torch.Size([64, 32, 3, 3]), torch.Size([8, 32, 384, 512]), True], [[32, 8, 384, 512], [64, 8, 192, 256], [32, 64, 3, 3], False]]"
"torch.Size([8, 32, 384, 512])","torch.Size([8, 3, 384, 512])","torch.Size([32, 3, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[False, True, False]","(None, torch.Size([32, 3, 3, 3]), None)","[[[3, 8, 384, 512], [32, 8, 384, 512], [3, 32, 3, 3], False]]"
